SRC_Station_Name,SRC_STATION_ID,DEST_STATION_NAME,DEST_STATION_ID,OCT_ADT_FARE,OCT_STD_FARE,SINGLE_ADT_FARE,OCT_CON_CHILD_FARE,OCT_CON_ELDERLY_FARE,OCT_CON_PWD_FARE,SINGLE_CON_CHILD_FARE,SINGLE_CON_ELDERLY_FARE
Central,1,Tai Wo Hau,24,14.9,7,15,7,2,2,7.5,7.5
Central,1,Tsuen Wan,25,14.9,7,15,7,2,2,7.5,7.5
Central,1,Sheung Wan,26,4.7,3,5,3,2,2,3.5,3.5
Central,1,Wan Chai,27,4.7,3,5,3,2,2,3.5,3.5
Central,1,Causeway Bay,28,5.6,3,6,3,2,2,3.5,3.5
Central,1,Tin Hau,29,5.6,3,6,3,2,2,3.5,3.5
Central,1,Fortress Hill,30,5.6,3,6,3,2,2,3.5,3.5
Central,1,North Point,31,7,3.5,7.5,3.5,2,2,4,4
Central,1,Quarry Bay,32,7,3.5,7.5,3.5,2,2,4,4
Central,1,Tai Koo,33,7,3.5,7.5,3.5,2,2,4,4
Central,1,Sai Wan Ho,34,8.7,4.2,10,4.2,2,2,4.5,4.5
Central,1,Shau Kei Wan,35,8.7,4.2,10,4.2,2,2,4.5,4.5
Central,1,Heng Fa Chuen,36,8.7,4.2,10,4.2,2,2,4.5,4.5
Central,1,Chai Wan,37,8.7,4.2,10,4.2,2,2,4.5,4.5
Central,1,Lam Tin,38,14.9,7,15,7,2,2,7.5,7.5
Central,1,Hong Kong,39,0,0,0,0,0,0,0,0
Central,1,Kowloon,40,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Central,1,Olympic,41,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Tsing Yi,42,14.9,7,15,7,2,2,7.5,7.5
Central,1,Tung Chung,43,23.1,11.8,26.5,11.8,2,2,14,14
Central,1,Yau Tong,48,14.9,7,15,7,2,2,7.5,7.5
Central,1,Tiu Keng Leng,49,14.9,7,15,7,2,2,7.5,7.5
Central,1,Tseung Kwan O,50,14.9,7,15,7,2,2,7.5,7.5
Central,1,Hang Hau,51,14.9,7,15,7,2,2,7.5,7.5
Central,1,Po Lam,52,14.9,7,15,7,2,2,7.5,7.5
Central,1,Nam Cheong,53,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Sunny Bay,54,21,10.6,24,10.6,2,2,12.5,12.5
Central,1,Disneyland Resort,55,26.5,13.5,29.5,13.5,2,2,15.5,15.5
Central,1,LOHAS Park,57,14.9,7,15,7,2,2,7.5,7.5
Central,1,Hung Hom,64,11.9,5.6,14,5.6,2,2,6,6
Central,1,Mong Kok East,65,12.2,6.1,14.5,6.1,2,2,6.5,6.5
Central,1,Tai Wai,67,16.2,8.1,18,8.1,2,2,9,9
Central,1,Sha Tin,68,16.2,8.1,18,8.1,2,2,9,9
Central,1,Fo Tan,69,16.7,8.6,18.5,8.6,2,2,9.5,9.5
Central,1,Racecourse,70,24.3,12.7,27,12.7,2,2,14,14
Central,1,University,71,17.5,8.7,19,8.7,2,2,10,10
Central,1,Tai Po Market,72,18.9,9.6,21,9.6,2,2,11,11
Central,1,Tai Wo,73,18.9,9.6,21,9.6,2,2,11,11
Central,1,Fanling,74,21,11,24,11,2,2,12.5,12.5
Central,1,Sheung Shui,75,21,11,24,11,2,2,12.5,12.5
Central,1,Lo Wu,76,49.6,43.8,53,24.8,24.8,24.8,26,26
Central,1,Lok Ma Chau,78,49.6,43.8,53,24.8,24.8,24.8,26,26
Central,1,East Tsim Sha Tsui,80,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Central,1,Sai Ying Pun,81,4.7,3,5,3,2,2,3.5,3.5
Central,1,HKU,82,5.6,3,6,3,2,2,3.5,3.5
Central,1,Kennedy Town,83,5.6,3,6,3,2,2,3.5,3.5
Central,1,Ho Man Tin,84,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Whampoa,85,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Ocean Park,86,5.6,3,6,3,2,2,3.5,3.5
Central,1,Wong Chuk Hang,87,7,3.5,7.5,3.5,2,2,4,4
Central,1,Lei Tung,88,7,3.5,7.5,3.5,2,2,4,4
Central,1,South Horizons,89,7,3.5,7.5,3.5,2,2,4,4
Central,1,Hin Keng,90,16.2,8.1,18,8.1,2,2,9,9
Central,1,Kai Tak,91,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Sung Wong Toi,92,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,To Kwa Wan,93,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Central,1,Exhibition Centre,94,4.7,3,5,3,2,2,3.5,3.5
Central,1,Che Kung Temple,96,16.3,8.2,18,8.2,2,2,9.5,9.5
Central,1,Sha Tin Wai,97,16.3,8.2,18,8.2,2,2,9.5,9.5
Central,1,City One,98,16.3,8.2,18,8.2,2,2,9.5,9.5
Central,1,Shek Mun,99,16.3,8.2,18,8.2,2,2,9.5,9.5
Central,1,Tai Shui Hang,100,19.7,9.9,21,9.9,2,2,11.5,11.5
Central,1,Heng On,101,19.7,9.9,21,9.9,2,2,11.5,11.5
Central,1,Ma On Shan,102,19.7,9.9,21,9.9,2,2,11.5,11.5
Central,1,Wu Kai Sha,103,19.7,9.9,21,9.9,2,2,11.5,11.5
Central,1,Austin,111,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Central,1,Tsuen Wan West,114,16.9,8.6,18.5,8.6,2,2,9.5,9.5
Central,1,Kam Sheung Road,115,26.6,13.6,28.5,13.6,2,2,14.5,14.5
Central,1,Yuen Long,116,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Central,1,Long Ping,117,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Central,1,Tin Shui Wai,118,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Central,1,Siu Hong,119,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Central,1,Tuen Mun,120,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Admiralty,2,Central,1,4.7,3,5,3,2,2,3.5,3.5
Admiralty,2,Admiralty,2,0,0,0,0,0,0,0,0
Admiralty,2,Tsim Sha Tsui,3,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Admiralty,2,Jordan,4,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Admiralty,2,Yau Ma Tei,5,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Mong Kok,6,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Shek Kip Mei,7,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Kowloon Tong,8,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Lok Fu,9,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Wong Tai Sin,10,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Diamond Hill,11,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Choi Hung,12,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Kowloon Bay,13,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Ngau Tau Kok,14,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Kwun Tong,15,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Prince Edward,16,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Sham Shui Po,17,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Cheung Sha Wan,18,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Lai Chi Kok,19,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Mei Foo,20,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Lai King,21,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Kwai Fong,22,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Kwai Hing,23,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Tai Wo Hau,24,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Tsuen Wan,25,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Sheung Wan,26,4.7,3,5,3,2,2,3.5,3.5
Admiralty,2,Wan Chai,27,4.7,3,5,3,2,2,3.5,3.5
Admiralty,2,Causeway Bay,28,4.7,3,5,3,2,2,3.5,3.5
Admiralty,2,Tin Hau,29,5.6,3,6,3,2,2,3.5,3.5
Admiralty,2,Fortress Hill,30,5.6,3,6,3,2,2,3.5,3.5
Admiralty,2,North Point,31,7,3.5,7.5,3.5,2,2,4,4
Admiralty,2,Quarry Bay,32,7,3.5,7.5,3.5,2,2,4,4
Admiralty,2,Tai Koo,33,7,3.5,7.5,3.5,2,2,4,4
Admiralty,2,Sai Wan Ho,34,8.7,4.2,10,4.2,2,2,4.5,4.5
Admiralty,2,Shau Kei Wan,35,8.7,4.2,10,4.2,2,2,4.5,4.5
Admiralty,2,Heng Fa Chuen,36,8.7,4.2,10,4.2,2,2,4.5,4.5
Admiralty,2,Chai Wan,37,8.7,4.2,10,4.2,2,2,4.5,4.5
Admiralty,2,Lam Tin,38,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Hong Kong,39,4.7,3,5,3,2,2,3.5,3.5
Admiralty,2,Kowloon,40,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Admiralty,2,Olympic,41,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Tsing Yi,42,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Tung Chung,43,23.1,11.8,26.5,11.8,2,2,14,14
Admiralty,2,Yau Tong,48,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Tiu Keng Leng,49,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Tseung Kwan O,50,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Hang Hau,51,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Po Lam,52,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Nam Cheong,53,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Sunny Bay,54,21,10.6,24,10.6,2,2,12.5,12.5
Admiralty,2,Disneyland Resort,55,26.5,13.5,29.5,13.5,2,2,15.5,15.5
Admiralty,2,LOHAS Park,57,14.9,7,15,7,2,2,7.5,7.5
Admiralty,2,Hung Hom,64,11.9,5.6,14,5.6,2,2,6,6
Admiralty,2,Mong Kok East,65,12.2,6.1,14.5,6.1,2,2,6.5,6.5
Admiralty,2,Tai Wai,67,16.2,8.1,18,8.1,2,2,9,9
Admiralty,2,Sha Tin,68,16.2,8.1,18,8.1,2,2,9,9
Admiralty,2,Fo Tan,69,16.7,8.6,18.5,8.6,2,2,9.5,9.5
Admiralty,2,Racecourse,70,24.3,12.7,27,12.7,2,2,14,14
Admiralty,2,University,71,17.5,8.7,19,8.7,2,2,10,10
Admiralty,2,Tai Po Market,72,18.9,9.6,21,9.6,2,2,11,11
Admiralty,2,Tai Wo,73,18.9,9.6,21,9.6,2,2,11,11
Admiralty,2,Fanling,74,21,11,24,11,2,2,12.5,12.5
Admiralty,2,Sheung Shui,75,21,11,24,11,2,2,12.5,12.5
Admiralty,2,Lo Wu,76,49.6,43.8,53,24.8,24.8,24.8,26,26
Admiralty,2,Lok Ma Chau,78,49.6,43.8,53,24.8,24.8,24.8,26,26
Admiralty,2,East Tsim Sha Tsui,80,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Admiralty,2,Sai Ying Pun,81,5.6,3,6,3,2,2,3.5,3.5
Admiralty,2,HKU,82,5.6,3,6,3,2,2,3.5,3.5
Admiralty,2,Kennedy Town,83,5.6,3,6,3,2,2,3.5,3.5
Admiralty,2,Ho Man Tin,84,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Whampoa,85,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Ocean Park,86,5.6,3,6,3,2,2,3.5,3.5
Admiralty,2,Wong Chuk Hang,87,7,3.5,7.5,3.5,2,2,4,4
Admiralty,2,Lei Tung,88,7,3.5,7.5,3.5,2,2,4,4
Admiralty,2,South Horizons,89,7,3.5,7.5,3.5,2,2,4,4
Admiralty,2,Hin Keng,90,16.2,8.1,18,8.1,2,2,9,9
Admiralty,2,Kai Tak,91,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Sung Wong Toi,92,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,To Kwa Wan,93,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Admiralty,2,Exhibition Centre,94,4.7,3,5,3,2,2,3.5,3.5
Admiralty,2,Che Kung Temple,96,16.3,8.2,18,8.2,2,2,9.5,9.5
Admiralty,2,Sha Tin Wai,97,16.3,8.2,18,8.2,2,2,9.5,9.5
Admiralty,2,City One,98,16.3,8.2,18,8.2,2,2,9.5,9.5
Admiralty,2,Shek Mun,99,16.3,8.2,18,8.2,2,2,9.5,9.5
Admiralty,2,Tai Shui Hang,100,19.7,9.9,21,9.9,2,2,11.5,11.5
Admiralty,2,Heng On,101,19.7,9.9,21,9.9,2,2,11.5,11.5
Admiralty,2,Ma On Shan,102,19.7,9.9,21,9.9,2,2,11.5,11.5
Admiralty,2,Wu Kai Sha,103,19.7,9.9,21,9.9,2,2,11.5,11.5
Admiralty,2,Austin,111,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Admiralty,2,Tsuen Wan West,114,16.9,8.6,18.5,8.6,2,2,9.5,9.5
Admiralty,2,Kam Sheung Road,115,26.6,13.6,28.5,13.6,2,2,14.5,14.5
Admiralty,2,Yuen Long,116,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Admiralty,2,Long Ping,117,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Admiralty,2,Tin Shui Wai,118,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Admiralty,2,Siu Hong,119,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Admiralty,2,Tuen Mun,120,27.8,14.4,29.5,14.4,2,2,15.5,15.5
Tsim Sha Tsui,3,Central,1,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Admiralty,2,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Tsim Sha Tsui,3,0,0,0,0,0,0,0,0
Tsim Sha Tsui,3,Jordan,4,4.7,3,5,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Yau Ma Tei,5,4.7,3,5,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Mong Kok,6,5.6,3,6,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Shek Kip Mei,7,7,3.5,7.5,3.5,2,2,4,4
Tsim Sha Tsui,3,Kowloon Tong,8,7,3.5,7.5,3.5,2,2,4,4
Tsim Sha Tsui,3,Lok Fu,9,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Wong Tai Sin,10,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Diamond Hill,11,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Choi Hung,12,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Kowloon Bay,13,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Ngau Tau Kok,14,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Kwun Tong,15,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Prince Edward,16,5.6,3,6,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Sham Shui Po,17,7,3.5,7.5,3.5,2,2,4,4
Tsim Sha Tsui,3,Cheung Sha Wan,18,7,3.5,7.5,3.5,2,2,4,4
Tsim Sha Tsui,3,Lai Chi Kok,19,8.5,3.7,10,3.7,2,2,4,4
Tsim Sha Tsui,3,Mei Foo,20,8.5,3.7,10,3.7,2,2,4,4
Tsim Sha Tsui,3,Lai King,21,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Kwai Fong,22,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Kwai Hing,23,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Tai Wo Hau,24,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Tsuen Wan,25,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Sheung Wan,26,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Wan Chai,27,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Causeway Bay,28,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Tin Hau,29,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Fortress Hill,30,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,North Point,31,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Quarry Bay,32,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Tai Koo,33,14.9,7,15,7,2,2,7.5,7.5
Tsim Sha Tsui,3,Sai Wan Ho,34,14.9,7,15,7,2,2,7.5,7.5
Tsim Sha Tsui,3,Shau Kei Wan,35,14.9,7,15,7,2,2,7.5,7.5
Tsim Sha Tsui,3,Heng Fa Chuen,36,14.9,7,15,7,2,2,7.5,7.5
Tsim Sha Tsui,3,Chai Wan,37,14.9,7,15,7,2,2,7.5,7.5
Tsim Sha Tsui,3,Lam Tin,38,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Hong Kong,39,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Kowloon,40,4.7,3,5,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Olympic,41,5.6,3,6,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Tsing Yi,42,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Tung Chung,43,17.7,8.9,20,8.9,2,2,10,10
Tsim Sha Tsui,3,Yau Tong,48,8.7,4.2,10,4.2,2,2,4.5,4.5
Tsim Sha Tsui,3,Tiu Keng Leng,49,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Tseung Kwan O,50,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Hang Hau,51,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Po Lam,52,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Nam Cheong,53,5.9,3.2,6.5,3.2,2,2,3.5,3.5
Tsim Sha Tsui,3,Sunny Bay,54,15,7.3,16,7.3,2,2,7.5,7.5
Tsim Sha Tsui,3,Disneyland Resort,55,21,10.6,24,10.6,2,2,12.5,12.5
Tsim Sha Tsui,3,LOHAS Park,57,10.5,4.7,12,4.7,2,2,5,5
Tsim Sha Tsui,3,Hung Hom,64,4.5,2.1,5,2.1,2,2,2.5,2.5
Tsim Sha Tsui,3,Mong Kok East,65,5.6,2.6,6,2.6,2,2,3,3
Tsim Sha Tsui,3,Tai Wai,67,9.6,4.8,11,4.8,2,2,5,5
Tsim Sha Tsui,3,Sha Tin,68,9.6,4.8,11,4.8,2,2,5,5
Tsim Sha Tsui,3,Fo Tan,69,10.5,5.1,12,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Racecourse,70,16.6,8.1,17.5,8.1,2,2,9,9
Tsim Sha Tsui,3,University,71,10.5,5.1,12,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Tai Po Market,72,12.7,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Tai Wo,73,12.7,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Fanling,74,14.2,6.9,15,6.9,2,2,7.5,7.5
Tsim Sha Tsui,3,Sheung Shui,75,14.2,6.9,15,6.9,2,2,7.5,7.5
Tsim Sha Tsui,3,Lo Wu,76,42.2,41.7,44,21.1,21.1,21.1,21.5,21.5
Tsim Sha Tsui,3,Lok Ma Chau,78,42.2,41.7,44,21.1,21.1,21.1,21.5,21.5
Tsim Sha Tsui,3,East Tsim Sha Tsui,80,0,0,0,0,0,0,0,0
Tsim Sha Tsui,3,Sai Ying Pun,81,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,HKU,82,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Kennedy Town,83,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Ho Man Tin,84,5.6,3,6,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Whampoa,85,5.6,3,6,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Ocean Park,86,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Wong Chuk Hang,87,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,Lei Tung,88,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Tsim Sha Tsui,3,South Horizons,89,14.9,7,15,7,2,2,7.5,7.5
Tsim Sha Tsui,3,Hin Keng,90,9.6,4.8,11,4.8,2,2,5,5
Tsim Sha Tsui,3,Kai Tak,91,7,3.5,7.5,3.5,2,2,4,4
Tsim Sha Tsui,3,Sung Wong Toi,92,5.6,3,6,3,2,2,3.5,3.5
Tsim Sha Tsui,3,To Kwa Wan,93,5.6,3,6,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Exhibition Centre,94,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Che Kung Temple,96,10.6,5.2,12,5.2,2,2,5.5,5.5
Tsim Sha Tsui,3,Sha Tin Wai,97,10.6,5.2,12,5.2,2,2,5.5,5.5
Tsim Sha Tsui,3,City One,98,10.6,5.2,12,5.2,2,2,5.5,5.5
Tsim Sha Tsui,3,Shek Mun,99,10.6,5.2,12,5.2,2,2,5.5,5.5
Tsim Sha Tsui,3,Tai Shui Hang,100,13.5,6.8,14.5,6.8,2,2,7,7
Tsim Sha Tsui,3,Heng On,101,13.5,6.8,14.5,6.8,2,2,7,7
Tsim Sha Tsui,3,Ma On Shan,102,13.5,6.8,14.5,6.8,2,2,7,7
Tsim Sha Tsui,3,Wu Kai Sha,103,13.5,6.8,14.5,6.8,2,2,7,7
Tsim Sha Tsui,3,Austin,111,4.7,3,5,3,2,2,3.5,3.5
Tsim Sha Tsui,3,Tsuen Wan West,114,10.5,5.1,12,5.1,2,2,5.5,5.5
Tsim Sha Tsui,3,Kam Sheung Road,115,20.7,10.6,21.5,10.6,2,2,12,12
Tsim Sha Tsui,3,Yuen Long,116,21.7,11.2,24,11.2,2,2,12.5,12.5
Tsim Sha Tsui,3,Long Ping,117,21.7,11.2,24,11.2,2,2,12.5,12.5
Tsim Sha Tsui,3,Tin Shui Wai,118,21.7,11.2,24,11.2,2,2,12.5,12.5
Tsim Sha Tsui,3,Siu Hong,119,21.7,11.2,24,11.2,2,2,12.5,12.5
Tsim Sha Tsui,3,Tuen Mun,120,21.7,11.2,24,11.2,2,2,12.5,12.5
Jordan,4,Central,1,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Jordan,4,Admiralty,2,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Jordan,4,Tsim Sha Tsui,3,4.7,3,5,3,2,2,3.5,3.5
Jordan,4,Jordan,4,0,0,0,0,0,0,0,0
Jordan,4,Yau Ma Tei,5,4.7,3,5,3,2,2,3.5,3.5
Jordan,4,Mong Kok,6,4.7,3,5,3,2,2,3.5,3.5
Jordan,4,Shek Kip Mei,7,5.6,3,6,3,2,2,3.5,3.5
Jordan,4,Kowloon Tong,8,7,3.5,7.5,3.5,2,2,4,4
Jordan,4,Lok Fu,9,7,3.5,7.5,3.5,2,2,4,4
Jordan,4,Wong Tai Sin,10,8.7,4.2,10,4.2,2,2,4.5,4.5
Jordan,4,Diamond Hill,11,8.7,4.2,10,4.2,2,2,4.5,4.5
Jordan,4,Choi Hung,12,8.7,4.2,10,4.2,2,2,4.5,4.5
Jordan,4,Kowloon Bay,13,8.7,4.2,10,4.2,2,2,4.5,4.5
Jordan,4,Ngau Tau Kok,14,8.7,4.2,10,4.2,2,2,4.5,4.5
Jordan,4,Kwun Tong,15,8.7,4.2,10,4.2,2,2,4.5,4.5
Jordan,4,Prince Edward,16,5.6,3,6,3,2,2,3.5,3.5
Jordan,4,Sham Shui Po,17,5.6,3,6,3,2,2,3.5,3.5
Jordan,4,Cheung Sha Wan,18,7,3.5,7.5,3.5,2,2,4,4
Jordan,4,Lai Chi Kok,19,7,3.5,7.5,3.5,2,2,4,4
Jordan,4,Mei Foo,20,8.5,3.7,10,3.7,2,2,4,4
Jordan,4,Lai King,21,8.7,4.2,10,4.2,2,2,4.5,4.5
Jordan,4,Kwai Fong,22,10.5,4.7,12,4.7,2,2,5,5
Jordan,4,Kwai Hing,23,10.5,4.7,12,4.7,2,2,5,5
Jordan,4,Tai Wo Hau,24,10.5,4.7,12,4.7,2,2,5,5
Jordan,4,Tsuen Wan,25,10.5,4.7,12,4.7,2,2,5,5
Jordan,4,Sheung Wan,26,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Jordan,4,Wan Chai,27,10.1,5.1,11.5,5.1,2,2,5.5,5.5
Jordan,4,Causeway Bay,28,12.5,6.2,14.5,6.2,2,2,6.5,6.5
Jordan,4,Tin Hau,29,12.5,6.2,14.5,6.2,2,2,6.5,6.5
